lex_ref_link_id,reflex,gloss_eng,lemma_id,lemma,gloss,entry_str
18,bodǫ,pierce / stab,3693,ⰱⱘⰴⱘ,third-person plural imperative of бꙑти (byti),third-person plural imperative of бꙑти (byti)
18,bodǫ,pierce / stab,4461,бѫдѫ,inflection of бꙑти (byti):,inflection of бꙑти (byti):; first-person singular future indicative
120,bišę,struck (sg. and pl.),3694,ⰱⰻⱎⱔ,third-person plural conditional of бꙑти (byti),third-person plural conditional of бꙑти (byti)
120,bišę,struck (sg. and pl.),4493,бишѧ,third-person plural conditional of бꙑти (byti),third-person plural conditional of бꙑти (byti)
1039,děti,"set, lay",1111,дѣти,children,(plural only) children
1039,děti,"set, lay",1112,дѣти,to do,to do
1039,děti,"set, lay",2153,дѧти,to put,to put
1431,zęti,to tear apart,538,зѧть,bridegroom,bridegroom
1431,zęti,to tear apart,720,зѧти,to gnaw,(hapax legomenon) to gnaw
1431,zęti,to tear apart,1097,жѧти,to reap,to reap
2067,žrěti,to devour,1098,жрѣти,alternative form of жрьти (žrĭti),alternative form of жрьти (žrĭti)
2067,žrěti,to devour,3322,зрѣти,alternative form of зьрѣти (zĭrěti),alternative form of зьрѣти (zĭrěti)
2112,žęti,harvest,538,зѧть,bridegroom,bridegroom
2112,žęti,harvest,720,зѧти,to gnaw,(hapax legomenon) to gnaw
2112,žęti,harvest,1097,жѧти,to reap,to reap
2352,iti,to go,333,ити,to go,to go
2352,iti,to go,2252,ⰹⱅⰹ,"Glagolitic spelling of ити (iti, “to go”)","Glagolitic spelling of ити (iti, “to go”)"
3033,sušiti,make dry,1911,соушити,to dry,to dry
3033,sušiti,make dry,3802,ⱄⱆⱎⰻⱅⰻ,Glagolitic spelling of соушити (sušiti),Glagolitic spelling of соушити (sušiti)
3667,slovǫ,"be valid, be called",51,слово,"word, speech, utterance","word, speech, utterance; word"
3667,slovǫ,"be valid, be called",2436,ⱄⰾⱁⰲⱁ,Glagolitic spelling of слово (slovo),Glagolitic spelling of слово (slovo)
3761,světiti,"lex_ref_link_id 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate Name: gloss_eng, dtype: object",912,свѧтити,to sanctify,to sanctify
3761,světiti,"lex_ref_link_id 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate Name: gloss_eng, dtype: object",1159,свѣтити,to lighten,to lighten
4493,lešti,lie down,729,лѣсти,to crawl,to crawl
4493,lešti,lie down,820,лещи,to lie down,to lie down
