tag,attribute,count
bibl,TEIform,579069
bibl,default,579069
biblScope,TEIform,529921
author,TEIform,442808
bibl,n,438506
title,TEIform,292596
tr,TEIform,231546
tr,opt,231546
sense,TEIform,161969
sense,id,161969
sense,level,161969
sense,n,161969
sense,opt,161969
quote,TEIform,159476
cit,TEIform,159470
quote,lang,159470
foreign,TEIform,151573
foreign,lang,151573
orth,TEIform,136279
orth,extent,136279
orth,opt,136279
orth,lang,136278
entryFree,TEIform,116501
entryFree,id,116501
entryFree,key,116501
entryFree,opt,116501
entryFree,type,116501
itype,TEIform,67971
itype,opt,67971
itype,lang,67888
gen,TEIform,48412
gen,lang,48412
gen,opt,48412
gram,TEIform,40777
gram,opt,40777
gram,type,40777
gramGrp,TEIform,40777
gramGrp,opt,40777
lbl,TEIform,27091
lbl,opt,27091
ref,TEIform,27091
ref,lang,27091
ref,targOrder,27091
xr,TEIform,27091
xr,opt,27091
date,TEIform,26319
tns,TEIform,14509
tns,opt,14509
pos,TEIform,9733
pos,opt,9733
etym,TEIform,9703
etym,lang,9703
etym,opt,9703
abbr,TEIform,9603
item,TEIform,8718
mood,TEIform,6407
mood,opt,6407
placeName,TEIform,5892
pron,TEIform,4296
pron,extent,4296
pron,lang,4296
pron,opt,4296
hi,TEIform,4024
hi,rend,4024
pb,TEIform,2071
pb,n,2071
per,TEIform,1620
per,opt,1620
number,TEIform,1559
number,opt,1559
name,TEIform,198
p,TEIform,156
state,TEIform,135
state,unit,135
language,TEIform,108
language,id,108
resp,TEIform,108
refsDecl,TEIform,81
refsDecl,doctype,81
respStmt,TEIform,81
state,n,81
note,TEIform,60
note,anchored,60
note,n,60
note,place,60
head,TEIform,57
pubPlace,TEIform,54
publisher,TEIform,54
subc,TEIform,47
subc,opt,47
authority,TEIform,27
biblStruct,TEIform,27
biblStruct,default,27
change,TEIform,27
div0,TEIform,27
div0,n,27
div0,org,27
div0,part,27
div0,sample,27
div0,type,27
encodingDesc,TEIform,27
fileDesc,TEIform,27
funder,TEIform,27
funder,n,27
head,lang,27
idno,TEIform,27
idno,type,27
imprint,TEIform,27
langUsage,TEIform,27
langUsage,default,27
monogr,TEIform,27
principal,TEIform,27
profileDesc,TEIform,27
publicationStmt,TEIform,27
revisionDesc,TEIform,27
sourceDesc,TEIform,27
sourceDesc,default,27
sponsor,TEIform,27
teiHeader,TEIform,27
teiHeader,status,27
teiHeader,type,27
title,type,27
titleStmt,TEIform,27
div1,TEIform,24
div1,n,24
div1,org,24
div1,part,24
div1,sample,24
div1,type,24
num,TEIform,19
list,TEIform,18
list,type,18
measure,TEIform,9
measure,type,9
closer,TEIform,6
div2,TEIform,6
div2,n,6
div2,org,6
div2,part,6
div2,sample,6
div2,type,6
dateline,TEIform,3
front,TEIform,3
mentioned,TEIform,3
mentioned,rend,3
name,type,3
signed,TEIform,3
tr,lang,1
