lex_ref_link_id,reflex,gloss_eng,lemma_id,lemma,gloss,entry_str
18,bodǫ,pierce / stab,3693,ⰱⱘⰴⱘ,third-person plural imperative of бꙑти (byti),third-person plural imperative of бꙑти (byti)
120,bišę,struck (sg. and pl.),3694,ⰱⰻⱎⱔ,third-person plural conditional of бꙑти (byti),third-person plural conditional of бꙑти (byti)
1039,děti,"set, lay",2153,дѧти,to put,to put
1431,zęti,to tear apart,720,зѧти,to gnaw,(hapax legomenon) to gnaw
2067,žrěti,to devour,1098,жрѣти,alternative form of жрьти (žrĭti),alternative form of жрьти (žrĭti)
2112,žęti,harvest,1097,жѧти,to reap,to reap
2352,iti,to go,333,ити,to go,to go
3033,sušiti,make dry,1911,соушити,to dry,to dry
3667,slovǫ,"be valid, be called",51,слово,"word, speech, utterance","word, speech, utterance; word"
3761,světiti,"lex_ref_link_id 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate Name: gloss_eng, dtype: object",1159,свѣтити,to lighten,to lighten
4493,lešti,lie down,820,лещи,to lie down,to lie down
4886,mošti,can,2520,мощи,to be able,to be able
5057,mlěti,to grind,767,млѣти,to grind,to grind
5174,męsti,"confuse, stir up",500,мѧсти,to stir,(reflexive) to stir
5298,myti,to wash,468,мꙑти,"to wash, bathe","to wash, bathe"
5505,pasti,"graze, tend",385,пасти,to pasture,to pasture
5570,pěti,to singing,673,пѣти,to sing,to sing
5625,pešti,"bake, roast",664,пещь,"oven, stove","oven, stove"
18,bodǫ,pierce / stab,3693,ⰱⱘⰴⱘ,third-person plural imperative of бꙑти (byti),third-person plural imperative of бꙑти (byti)
120,bišę,struck (sg. and pl.),3694,ⰱⰻⱎⱔ,third-person plural conditional of бꙑти (byti),third-person plural conditional of бꙑти (byti)
1039,děti,"set, lay",2153,дѧти,to put,to put
1431,zęti,to tear apart,720,зѧти,to gnaw,(hapax legomenon) to gnaw
2067,žrěti,to devour,1098,жрѣти,alternative form of жрьти (žrĭti),alternative form of жрьти (žrĭti)
2112,žęti,harvest,1097,жѧти,to reap,to reap
2352,iti,to go,333,ити,to go,to go
3033,sušiti,make dry,1911,соушити,to dry,to dry
3667,slovǫ,"be valid, be called",51,слово,"word, speech, utterance","word, speech, utterance; word"
3761,světiti,"lex_ref_link_id 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate 3786    shine, illuminate Name: gloss_eng, dtype: object",1159,свѣтити,to lighten,to lighten
4493,lešti,lie down,820,лещи,to lie down,to lie down
4886,mošti,can,2520,мощи,to be able,to be able
5057,mlěti,to grind,767,млѣти,to grind,to grind
5174,męsti,"confuse, stir up",500,мѧсти,to stir,(reflexive) to stir
5298,myti,to wash,468,мꙑти,"to wash, bathe","to wash, bathe"
5505,pasti,"graze, tend",385,пасти,to pasture,to pasture
5570,pěti,to singing,673,пѣти,to sing,to sing
5625,pešti,"bake, roast",665,пещи,to bake,to bake
5872,plakati,"beat one's breast, lament",329,плакати,to weep,(reflexive) to weep
5908,pluti,"sail, swim",1072,плоути,to sail,to sail
6158,rešti,to say,1035,рещи,to speak,to speak
6274,sěsti,sit down,313,сѣсти,to sit down,to sit down
6321,sęšti,"touch, grasp",2842,сѧщи,to touch,to touch
6340,sěti,sow,629,сѣти,to sow,to sow
6437,sěšti,"hew, fell",832,сѣщи,"to hack, chop off","to hack, chop off"
6691,sypati,"pour, scatter",2825,сꙑпати,"to pour, strew","to pour, strew"
6904,kopati,dig; hack,1039,копати,to dig,to dig
7238,pęti,to tension,2067,пѧти,"to tie, fix","to tie, fix"
7421,staviti,place,1908,ставити,"to set, to place","to set, to place"
7440,stati,"place oneself, step', None'",348,стати,to stand,to stand
7531,strěšti,"guard, watch over",314,стрѣщи,watch,watch
7612,strišti,shear,1202,стрищи,to shear,to shear
8090,tesati,"hew, fell",2406,тесати,to hew,to hew
8367,vesti,to lead,598,вести,to lead,to lead
8402,vesti,to drive,597,вести,to carry (by vehicle),to carry (by vehicle)
8808,vrěšti,to throw,1063,врѣщи,to throw,to throw
9042,brada,beard,857,брада,beard,beard
10533,zmii,"dragon, serpent",1826,змии,snake,snake
10633,stado,herd,247,стадо,herd,herd
11509,zima,winter,84,зима,winter,winter
11741,žena,"wife, spouse, woman",180,жена,woman,woman
11747,žiti,live,674,жити,to live,to live
12293,iti,go,333,ити,to go,to go
13628,ralo,plow,1893,рало,plough (plow),plough (plow)
14242,oči,both eyes,39,очи,nominative/accusative/vocative dual of око (oko),nominative/accusative/vocative dual of око (oko)
14244,oko,both eyes,31,око,eye,(anatomy) eye
14615,igo,yoke,799,иго,yoke,yoke
14831,srěda,middle,246,срѣда,center,center
14913,slovo,"word, speech",51,слово,"word, speech, utterance","word, speech, utterance; word"
14989,slava,"fame, honor, praise, glory",32,слава,fame,fame
15060,švěšta,"light, candle",3283,свѣща,candle,candle
15429,mati,mother,37,мати,mother,mother
15981,nebo,sky,202,небо,heaven,heaven
16464,pasti,fall,386,пасти,to fall,to fall
17360,sěsti,sit down,313,сѣсти,to sit down,to sit down
17392,selo,"estate, field",287,село,"village, settlement","village, settlement"
17997,stado,herd,247,стадо,herd,herd
18194,stati,"to position oneself, step",348,стати,to stand,to stand
18516,svekry,mother-in-law,700,свекрꙑ,mother-in-law,mother-in-law
18625,sestra,sister,210,сестра,sister,sister
18720,synu,son,190,сꙑнъ,son,son
19067,voda,water,45,вода,water,water
19071,vědro,bucket,606,вѣдро,bucket,bucket
21233,na,"towards; on, at",75,на,"onto, on","onto, on"
22605,u,"away, off, from, at",2286,оу,from,from
22606,u,"from (with verbs of desiring, receiving, taking); at (with fading of the concept of point of origin)",2286,оу,from,from
22985,voda,water,45,вода,water,water
23088,vedro,fair weather,798,ведро,good weather,good weather
23525,baba,old woman,36,баба,grandmother,grandmother
